"01.w_Defects/bit_shift.c:106","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:133","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:146","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:163","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:175","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:193","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:208","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:21","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:225","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:236","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:45","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:69","warning: The result of the '<<' expression is undefined"
"01.w_Defects/bit_shift.c:81","warning: The result of the '>>' expression is undefined"
"01.w_Defects/bit_shift.c:93","warning: The result of the '>>' expression is undefined"
"01.w_Defects/buffer_overrun_dynamic.c:332","warning: The right operand of '+' is a garbage value"
"01.w_Defects/buffer_underrun_dynamic.c:177","warning: Dereference of undefined pointer value"
"01.w_Defects/buffer_underrun_dynamic.c:647","warning: The left operand of '==' is a garbage value"
"01.w_Defects/buffer_underrun_dynamic.c:700","warning: Value stored to 'c' is never read"
"01.w_Defects/buffer_underrun_dynamic.c:721","warning: The left operand of '!=' is a garbage value"
"01.w_Defects/double_free.c:101","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:115","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:131","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:149","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:168","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:187","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:204","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:222","warning: Attempt to free released memory"
"01.w_Defects/double_free.c:22","warning: Attempt to free released memory"
"01.w_Defects/free_nondynamic_allocated_memory.c:103","warning: Argument to free() is the address of the local variable 'd', which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:115","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:128","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:141","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:155","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:170","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:187","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:209","warning: Argument to free() is the address of the local variable 'str', which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:229","warning: Argument to free() is the address of the local variable 'free_nondynamic_allocated_memory_st', which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:22","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:239","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:262","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:36","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:48","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:62","warning: Argument to free() is the address of the local variable 'ptr1', which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:82","warning: Dereference of null pointer"
"01.w_Defects/free_nondynamic_allocated_memory.c:86","warning: Argument to free() is the address of the local variable 'pbuf', which is not memory allocated by malloc()"
"01.w_Defects/free_nondynamic_allocated_memory.c:98","warning: Value stored to 'ptr2' during its initialization is never read"
"01.w_Defects/free_nondynamic_allocated_memory.c:99","warning: Value stored to 'ptr3' during its initialization is never read"
"01.w_Defects/free_null_pointer.c:109","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"01.w_Defects/free_null_pointer.c:241","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"01.w_Defects/free_null_pointer.c:275","warning: Array access (from variable 'free_null_pointer_009dst') results in a null pointer dereference"
"01.w_Defects/free_null_pointer.c:419","warning: Value stored to 'ret' is never read"
"01.w_Defects/free_null_pointer.c:420","warning: Value stored to 'p' is never read"
"01.w_Defects/free_null_pointer.c:452","warning: Dereference of null pointer"
"01.w_Defects/free_null_pointer.c:452","warning: Value stored to 'a' is never read"
"01.w_Defects/free_null_pointer.c:483","warning: Dereference of null pointer"
"01.w_Defects/function_return_value_unchecked.c:393","warning: Value stored to 'i' is never read"
"01.w_Defects/function_return_value_unchecked.c:398","warning: Value stored to 'i' is never read"
"01.w_Defects/insign_code.c:24","warning: Value stored to 'i' is never read"
"01.w_Defects/invalid_memory_access.c:133","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:147","warning: Value stored to 'count' is never read"
"01.w_Defects/invalid_memory_access.c:181","warning: Dereference of null pointer"
"01.w_Defects/invalid_memory_access.c:224","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:265","warning: Access to field 'a' results in a dereference of a null pointer (loaded from field 's1')"
"01.w_Defects/invalid_memory_access.c:270","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:371","warning: Access to field 'a' results in a dereference of a null pointer (loaded from variable 's')"
"01.w_Defects/invalid_memory_access.c:371","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:410","warning: Value stored to 'i' is never read"
"01.w_Defects/invalid_memory_access.c:422","warning: Value stored to 'i' is never read"
"01.w_Defects/invalid_memory_access.c:432","warning: Access to field 'a' results in a dereference of a null pointer (loaded from variable 'invalid_memory_access_013_s_001_s_gbl')"
"01.w_Defects/invalid_memory_access.c:432","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:45","warning: Dereference of null pointer"
"01.w_Defects/invalid_memory_access.c:45","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:45","warning: Value stored to 'a' is never read"
"01.w_Defects/invalid_memory_access.c:516","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:532","warning: Value stored to 'str' is never read"
"01.w_Defects/invalid_memory_access.c:568","warning: Array access (from variable 'invalid_memory_access_016_doubleptr_gbl') results in a null pointer dereference"
"01.w_Defects/invalid_memory_access.c:622","warning: Use of memory after it is freed"
"01.w_Defects/invalid_memory_access.c:84","warning: Use of memory after it is freed"
"01.w_Defects/littlemem_st.c:36","warning: Value stored to 'ret' is never read"
"01.w_Defects/littlemem_st.c:92","warning: Address of stack memory associated with local variable 'buf' is still referred to by the global variable 'littlemem_st_004_s_001_gbl_str' upon returning to the caller. This will be a dangling reference"
"01.w_Defects/lock_never_unlock.c:228","warning: Value stored to 'ip' is never read"
"01.w_Defects/lock_never_unlock.c:325","warning: Value stored to 'ip' is never read"
"01.w_Defects/memory_allocation_failure.c:268","warning: Potential memory leak"
"01.w_Defects/memory_allocation_failure.c:281","warning: Value stored to 'buf' is never read"
"01.w_Defects/memory_allocation_failure.c:447","warning: Value stored to 'a' is never read"
"01.w_Defects/memory_allocation_failure.c:513","warning: Function call argument is an uninitialized value"
"01.w_Defects/memory_allocation_failure.c:81","warning: Dereference of null pointer"
"01.w_Defects/memory_leak.c:120","warning: Potential leak of memory pointed to by 'ptr'"
"01.w_Defects/memory_leak.c:151","warning: Potential leak of memory pointed to by 'dptr'"
"01.w_Defects/memory_leak.c:212","warning: Value stored to 'p' during its initialization is never read"
